number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning ,Group 2 No.winning ,Group 3 No.winning ,Group 4 No.winning ,Group 5 No.winning ,Group 6 No.winning ,Group 7 No.winning 
3737,07/02/2022,1,11,17,28,32,35,44,-,"$172,377","$1,954",$364,$50,$25,$10,-,3,182,534,"10,860","14,140","205,036"
3738,11/02/2022,9,13,14,16,18,28,10,"$2,427,114","$77,154","$1,367",$275,$50,$25,$10,8,42,"1,630","4,426","78,984","111,163","1,351,914"
3739,14/02/2022,10,23,29,33,37,43,8,"$1,374,201","$96,436","$1,496",$361,$50,$25,$10,1,3,133,301,"5,625","8,794","98,262"
3740,17/02/2022,1,4,19,35,37,45,49,"$1,296,172","$90,960","$2,261",$461,$50,$25,$10,1,3,83,222,"5,034","6,685","95,178"
3741,21/02/2022,1,19,22,27,37,44,25,-,"$90,202","$1,899",$400,$50,$25,$10,-,3,98,254,"5,322","7,042","101,763"
3742,24/02/2022,4,11,15,25,41,48,14,"$2,842,012","$109,238","$2,030",$320,$50,$25,$10,1,3,111,385,"6,353","10,236","124,074"
3743,28/02/2022,1,9,20,27,37,49,33,-,"$131,715","$1,969",$434,$50,$25,$10,-,2,92,228,"5,959","7,080","107,896"
3744,03/03/2022,8,13,24,30,40,44,45,"$2,818,036","$82,461","$1,454",$431,$50,$25,$10,1,4,156,287,"6,753","7,947","129,785"
3745,07/03/2022,19,22,24,28,29,42,40,"$1,226,104",-,"$1,849",$431,$50,$25,$10,1,-,96,225,"5,547","6,138","98,158"
3746,10/03/2022,1,8,25,32,45,46,44,-,"$252,391","$2,609",$435,$50,$25,$10,-,2,65,213,"4,393","6,059","85,181"
3747,14/03/2022,19,37,38,45,47,49,25,-,"$168,851","$2,019",$440,$50,$25,$10,-,2,115,288,"6,039","7,562","109,017"
3748,17/03/2022,5,7,30,42,47,49,17,"$5,321,344","$107,186","$1,755",$382,$50,$25,$10,1,5,210,527,"10,901","16,050","197,240"
3749,21/03/2022,1,20,22,23,24,31,2,"$1,229,817","$43,152","$1,339",$225,$50,$25,$10,1,6,133,432,"6,654","11,188","108,268"
3750,24/03/2022,3,12,15,22,34,45,2,"$575,849","$242,463","$1,701",$314,$50,$25,$10,2,1,98,290,"5,039","9,013","96,486"
3751,28/03/2022,5,9,10,12,39,44,14,-,"$84,174","$1,367",$228,$50,$25,$10,-,3,127,417,"7,934","9,814","134,743"
3752,31/03/2022,1,4,10,22,24,45,47,"$2,781,896","$111,048","$1,056",$392,$50,$25,$10,1,3,217,319,"10,042","8,531","155,215"
3753,04/04/2022,14,15,28,31,40,42,44,-,"$129,453","$2,406",$452,$50,$25,$10,-,2,74,215,"4,320","5,945","86,706"
3754,07/04/2022,1,7,10,28,31,44,9,-,"$47,300","$1,064",$224,$50,$25,$10,-,7,214,556,"10,184","16,109","155,269"
3755,11/04/2022,2,12,18,27,36,49,6,-,"$50,621","$1,471",$268,$50,$25,$10,-,12,284,850,"12,970","21,620","234,342"
3756,14/04/2022,4,6,23,26,29,30,36,"$5,667,055","$108,062","$1,419",$345,$50,$25,$10,2,11,576,"1,294","29,410","34,604","507,015"
3757,18/04/2022,12,20,33,39,42,48,49,-,"$248,616","$1,988",$566,$50,$25,$10,-,1,86,165,"4,422","5,251","81,810"
3758,21/04/2022,13,16,19,32,38,43,20,"$1,392,984","$84,476","$1,056",$453,$50,$25,$10,2,4,220,280,"8,439","8,762","130,444"
3759,25/04/2022,6,16,26,32,39,47,23,-,"$83,322","$2,122",$344,$50,$25,$10,-,3,81,273,"4,349","7,256","81,710"
3760,28/04/2022,5,6,11,16,22,37,44,"$2,756,990","$110,152","$1,131",$328,$50,$25,$10,1,3,201,378,"10,301","9,852","164,343"
3761,02/05/2022,12,14,23,32,35,38,13,-,"$85,300","$1,814",$378,$50,$25,$10,-,3,97,254,"5,323","7,368","96,398"
3762,05/05/2022,7,13,35,39,41,45,1,"$2,826,579","$113,058","$2,180",$436,$50,$25,$10,1,3,107,292,"6,063","8,549","115,244"
3763,09/05/2022,5,12,15,21,30,39,6,"$1,189,046","$50,066","$1,083",$195,$50,$25,$10,1,5,159,482,"7,834","10,850","117,050"
3764,12/05/2022,15,20,36,38,41,46,10,-,"$121,139","$1,754",$469,$50,$25,$10,-,2,95,194,"3,928","5,675","73,058"
3765,16/05/2022,21,22,40,41,42,46,9,-,"$336,784","$2,693",$445,$50,$25,$10,-,1,86,284,"5,535","8,646","106,255"
3766,19/05/2022,5,8,13,20,21,46,31,"$5,346,307","$78,069","$1,136",$288,$50,$25,$10,1,7,331,712,"14,856","17,820","242,878"
3767,23/05/2022,7,10,16,21,27,35,22,"$587,842","$61,879","$1,362",$275,$50,$25,$10,2,4,125,338,"6,427","8,697","107,719"
3768,26/05/2022,6,11,30,34,43,45,2,-,"$236,294","$1,826",$446,$50,$25,$10,-,1,89,199,"4,774","6,520","87,047"
3769,30/05/2022,8,13,19,34,37,47,29,"$2,781,563","$87,325","$1,716",$375,$50,$25,$10,1,4,140,350,"6,329","8,735","123,159"
3770,02/06/2022,12,19,26,28,46,49,41,-,"$237,188","$1,664",$466,$50,$25,$10,-,1,98,191,"4,839","5,244","88,337"
3771,06/06/2022,12,28,29,34,41,47,16,"$1,379,328","$171,791","$2,813",$462,$50,$25,$10,2,2,84,279,"5,935","8,748","115,382"
3772,09/06/2022,7,14,15,16,17,38,44,-,"$234,345","$1,452",$440,$50,$25,$10,-,1,111,200,"5,759","6,091","100,004"
3773,13/06/2022,3,5,12,16,30,45,49,"$2,754,037","$172,727","$1,320",$331,$50,$25,$10,1,2,180,392,"9,507","9,558","165,097"
3774,16/06/2022,2,7,16,18,24,45,36,"$1,106,742","$58,250","$2,003",$363,$50,$25,$10,1,4,80,241,"5,127","6,008","96,962"
3775,20/06/2022,20,25,28,33,40,49,1,-,-,"$1,781",$421,$50,$25,$10,-,-,93,215,"4,108","6,955","81,090"
3776,23/06/2022,24,27,32,38,46,49,11,-,"$188,793","$2,017",$474,$50,$25,$10,-,3,111,258,"5,232","7,850","101,210"
3777,27/06/2022,21,24,27,32,34,38,41,-,"$150,516","$2,010",$431,$50,$25,$10,-,4,206,525,"14,075","14,937","221,365"
3778,30/06/2022,2,15,17,27,41,48,38,"$2,917,988","$85,921","$1,745",$377,$50,$25,$10,4,15,508,"1,283","25,166","35,209","465,917"
3779,04/07/2022,2,3,9,27,28,38,15,-,"$81,647","$1,116",$201,$50,$25,$10,-,3,151,459,"7,073","10,975","117,188"
3780,07/07/2022,16,17,20,33,39,49,7,-,"$339,873","$2,184",$389,$50,$25,$10,-,1,107,328,"5,880","10,089","112,032"
3781,11/07/2022,1,6,13,25,34,43,42,-,"$76,001","$1,918",$372,$50,$25,$10,-,8,218,613,"13,650","16,609","240,867"
3782,14/07/2022,8,10,15,36,39,44,9,"$5,731,299","$101,697","$1,515",$319,$50,$25,$10,2,12,554,"1,438","26,324","39,554","471,689"
3783,18/07/2022,3,20,36,41,43,47,9,-,-,"$2,017",$477,$50,$25,$10,-,-,84,194,"3,996","6,194","73,762"
3784,21/07/2022,4,15,31,42,43,47,39,"$1,417,875","$298,500","$1,310",$386,$50,$25,$10,2,2,184,341,"6,789","8,114","119,981"
3785,25/07/2022,2,6,29,30,31,44,40,"$1,194,850","$251,548","$2,621",$500,$50,$25,$10,1,1,66,189,"4,912","5,938","93,143"
3786,28/07/2022,1,2,25,33,36,40,7,"$1,149,738","$242,050","$2,821",$340,$50,$25,$10,1,1,59,267,"4,298","7,726","80,612"
